,Station,Depth,SF6,SF6 err,CFC12,CFC12 err
0,5,28,-2.8038223993468523,1.3221878310831163,-5.717843590436135,1.404710805826412
1,5,3910,0.6921072825234474,1.0124346736563938,-4.687934972575998,1.0635883995724753
2,8,29,3.668111931729867,1.4288723610211056,2.2141216827247296,1.5395721501364246
3,8,99,1.03866410825739,1.3157219577874055,-3.662041197167242,1.3761451155651447
4,8,296,-3.034551681779407,1.5449945293571399,-6.390284295758628,1.6181236541779414
5,8,494,-2.49976999761661,1.048308726111546,-5.53038683030101,1.1226095319823348
6,8,690,-2.1668014336175023,1.7174046245201353,-5.23166925998501,1.8167885248057707
7,8,988,-0.17507240624306747,1.931494739522276,-5.753037128772203,2.026933936852967
8,8,1479,-1.5084526535274325,1.3630664233392291,-4.411200006593111,1.4262425358572768
9,8,1970,-2.4061955200770173,1.3537567146505078,-4.475055658822274,1.4341530027735605
10,8,2459,-0.712975379399325,1.5586780077618847,-4.350028159450098,1.634901195696687
11,5,98,1.2428168067539573,1.415331424151394,-3.0684451585578474,1.489093971348621
12,8,2840,-0.6319335767280976,1.9333832685312045,-3.912953410166025,2.033459530861544
13,8,2889,-0.99858385552932,1.3577536124084153,-4.544742209217593,1.4313839050131203
14,16,29,3.8535977903048697,1.68100086306359,3.8486716518966855,1.8228620984269126
15,16,98,-1.4248539545211751,4.792914677582857,-5.815910760505762,5.074088271726325
16,16,296,-1.8052616935334074,1.3429026443798082,-6.344127491701798,1.3924400615967227
17,16,494,1.9152226333212774,1.9247184737415708,-5.020646061040913,2.0074713495269214
18,16,691,-1.8593250792033826,1.948978599107263,-5.148109380850825,2.0724029388861913
19,16,987,-1.3062498182349527,1.564612751096496,-5.45409254544814,1.6204423342732466
20,16,1969,-1.8565517877596125,1.4795235714645985,-4.1229729097970145,1.577513566066408
21,16,2946,-3.043302953193775,1.4572862244541998,-4.471493617129873,1.5626228306744694
22,5,296,-1.779474247618415,1.3180885174111092,-5.842041022031263,1.371184491251591
23,16,3434,-1.6701329987405125,2.17157435335247,-3.128513827078282,2.316031025656501
24,16,3920,-1.3099384746274898,1.4542457222535135,-4.163556059502637,1.5353980755544456
25,16,4335,-1.4860826405349001,1.592861632925243,-5.279820565795445,1.6523624030485025
26,20,29,7.457973086778012,2.389752905710128,4.338121119729518,2.545879842034156
27,20,242,-2.342766443194655,2.733943168219695,-5.634426663323923,2.8405276418298566
28,20,493,-1.9336392966669824,1.5154646526748583,-3.227230860884895,1.6306481667593582
29,20,691,2.997460726488738,1.4708562822447129,-5.15692046424254,1.5149449377697375
30,20,1478,-2.439275443489685,1.160432488648508,-4.875665853607825,1.2422933116814767
31,20,1969,5.382935096585372,2.445673906654914,-3.6975376194890353,2.4548615522051884
32,20,2458,-2.692878307735685,1.9383369320619914,-5.5690884657166055,2.070242330202918
33,5,494,-4.29794645899293,2.0230764125436815,-5.6404622048444,2.180043696902407
34,20,3434,-5.04112998871954,2.0124730958831476,-6.362803667405906,2.184175023871053
35,20,3917,-1.52579177643217,4.586435411105601,-4.222573942286925,4.9807075640026435
36,20,4236,-2.736060436653415,1.5697745362638085,-5.06025101113788,1.7154471775890598
37,28,29,11.847690113870133,2.209270071497539,7.266487453669825,2.337815618148413
38,28,98,0.08980531489203751,1.9167028563255089,-4.923636796247573,2.005168582965009
39,28,296,-2.5149678522478003,2.0220882713046904,-5.5063388235550725,2.0658909027388233
40,28,494,4.51039296912908,1.6513663264480678,-3.7679811301387423,1.6647280655044296
41,28,691,-3.0726152285657697,1.412018052084541,-4.7770069494255525,1.5034254933098867
42,28,986,5.393060671766937,2.3464160613681195,-7.20473176094652,2.324425378112655
43,28,1478,-2.6232341570337048,1.9201046132521862,-5.317250181358167,2.056522042254184
44,5,692,-3.652726683223177,1.5691070206407125,-5.461666082816812,1.649561872561476
45,28,1969,-1.9832278385494797,1.1623013653500063,-5.053399643044982,1.2384514059305085
46,28,2458,-2.6545944060090227,2.2455927835376595,-3.989760861506195,2.3763353782681804
47,28,2946,-1.6582265928205526,1.503782737957113,-3.701497757748558,1.590063127577221
48,28,3936,-0.13967879133819,1.5867768083867029,-4.390587826899902,1.6540474864498438
49,46,29,13.617890450442378,2.1972661577616415,5.974367178221131,2.2793603781851526
50,46,98,-0.5004960974191225,4.654594347221513,-2.8537425554575524,5.108512813451817
51,46,296,-2.552038292372832,2.0700628334487345,-5.301239401020713,2.156184464968844
52,46,494,-3.2154792745694856,1.2887870020602343,-5.1954130041563795,1.3623467853175661
53,46,691,-0.4161830688440975,1.3156885633813022,-5.2785655393376345,1.364927211473659
54,46,985,2.8321371755105424,1.4040454683610868,-4.353362740549808,1.4438651530772681
55,5,987,-3.103787135182973,1.2910697394618051,-6.0660171202718,1.3623398650089553
56,46,2458,-2.79456085471004,1.5512689974900427,-4.611237538913435,1.6599122426868989
57,46,2946,-0.28946862307037247,1.1318672868121094,-7.036932208205298,1.1831541671385233
58,5,1478,-3.960443076847675,1.3993403276353167,-5.150277389535273,1.5188858136811374
59,5,1969,-3.00140633278023,1.3104244885504424,-5.287609737567488,1.3969698595005386
60,5,2458,0.18770785548621002,0.9962841851951251,-5.244246063996565,1.044672276848257
61,5,2947,-0.21011684370050498,1.8612306459304007,-5.091585923901645,1.959736078439286
